# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.4070	1.5000	-0.0930	0.0087
w	4.1443	4.0000	+0.1443	0.0208
e	3.1602	3.0000	+0.1602	0.0257
r	3.5744	4.0000	-0.4256	0.1812
t	1.2858	2.0000	-0.7142	0.5101
y	1.9510	1.5000	+0.4510	0.2034
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.6890	2.5000	+1.1890	1.4137
p	1.8682	1.5000	+0.3682	0.1356
a	2.2123	1.0000	+1.2123	1.4697
s	5.6346	5.0000	+0.6346	0.4027
d	7.4144	8.0000	-0.5856	0.3429
f	4.4612	7.0000	-2.5388	6.4455
g	5.6092	5.0000	+0.6092	0.3712
h	5.4809	5.0000	+0.4809	0.2312
j	6.5717	7.0000	-0.4283	0.1835
k	9.8993	9.0000	+0.8993	0.8087
l	4.9707	4.0000	+0.9707	0.9422
z	0.0000	0.0000	+0.0000	0.0000
x	3.1760	3.0000	+0.1760	0.0310
c	1.9615	1.5000	+0.4615	0.2130
v	4.9160	5.0000	-0.0840	0.0071
b	2.1720	1.5000	+0.6720	0.4516
n	4.6958	4.5000	+0.1958	0.0383
m	3.8894	3.5000	+0.3894	0.1516
