的	jrhe
一	ffi
了	vla
是	jfsu
不	lbi
我	dksg
在	vlsd
人	kvo
有	vmfi
这	gjwe
他	wkfo
来	fmmf
个	klvo
你	wlkx
说	hwgj
上	jsu
到	htki
就	dkjf
着	yqme
大	fdi
们	wtmo
道	wrje
那	wtla
么	dvo
也	kfa
地	skfd
子	vka
下	jxi
出	nna
时	jhcv
看	kqmo
要	qlnx
她	lkfn
中	glku
没	vkse
然	mxpe
里	rlu
为	hxhe
过	hjci
自	rko
好	lvkn
得	gjfh
去	svdi
可	jgkd
会	knva
天	ffdf
还	ljbi
心	hxe
后	jfgk
以	rhkv
小	kxu
都	wjla
和	jgkh
对	dhcf
想	rqhx
能	vmmm
起	dljk
之	dke
手	kso
而	hri
只	gnbk
生	gso
什	wpso
身	pso
头	nfde
样	ryfm
事	hgqa
多	ppxx
己	lja
家	xjse
面	fmi
知	ngks
开	fdfi
如	lgkn
无	fkff
现	pdjw
很	glgo
点	cgpe
前	wmtu
发	ndhe
经	ydng
情	ywmf
把	khbi
老	wmbi
些	smnr
话	hdse
已	lfa
又	dfa
声	tpsi
意	sjhx
于	fhfi
回	mgku
笑	jffo
所	lqjh
但	wjff
眼	qlgm
成	nwfw
方	sfe
年	yto
见	dju
当	kqu
女	lna
真	pcnb
两	fhkk
力	xla
气	nvo
从	kkvv
用	xfo
长	kco
动	nvxl
间	tjvm
国	mphe
走	dki
让	hjse
被	tspe
给	ygha
正	ski
问	tgkm
打	kjdi
明	jmfv
儿	jro
法	vsva
才	hdi
几	kjo
行	gjo
三	lsi
定	xfsu
此	smbk
进	nnje
再	fhsd
种	jglu
将	tphc
实	xnfd
同	hfgk
最	jtdf
本	rffm
向	xxo
分	nddb
十	psi
学	klvk
高	dge
第	jcld
感	nfgh
怎	ychx
神	khss
听	gqjk
边	xjla
作	wycu
其	mvi
吧	ghbk
却	svwa
口	gku
觉	kldj
啊	gljg
因	mfdu
白	jbo
次	nsve
军	lsje
做	wpyo
外	pcbx
门	tme
光	kkwu
风	klfj
主	hpwe
住	whpw
果	jrmv
与	qffi
全	kpwv
二	nri
候	wltn
公	nvbo
相	rqmm
吗	gcmk
等	jshc
别	gxtu
色	lhbo
死	fpmb
张	ckcg
部	sgla
太	fhdi
日	jvu
少	kdxu
战	cgsg
理	prlw
直	pcsi
重	prlv
王	pwi
像	wlgj
脸	mkfk
比	mmbb
快	ytkv
何	wjgk
水	vsu
名	pgkx
体	wrff
呢	gpmb
东	wkxv
叫	gnku
西	qxi
应	fkge
便	wfjl
放	syfe
马	cma
难	dtkf
