# 当量分布统计
# 平均当量: 0.1369
# 变异系数(CV): 1.1945
# 标准差: 0.1635
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
物	0.9500	1225245
目	0.7333	1365310
思	0.6725	1438567
黑	0.6533	1292192
心	0.6333	6555833
林	0.6200	1435296
言	0.6167	1026005
跟	0.6125	1547565
随	0.5700	1016322
活	0.5550	1317244
武	0.5525	1003136
等	0.5500	2002114
金	0.5433	1291889
万	0.5375	1201402
拉	0.5225	1096796
果	0.4950	2105431
接	0.4725	1671342
让	0.4625	2999423
告	0.4625	1054831
师	0.4425	1581750
#
# 当量最低的20个高频字 (字频>1000000):
至	0.0000	1199059
通	0.0000	1186869
失	0.0000	1182384
火	0.0000	1180390
哥	0.0000	1176477
五	0.0000	1170398
姐	0.0000	1158924
剑	0.0000	1151704
早	0.0000	1138903
斯	0.0000	1105720
音	0.0000	1100301
记	0.0000	1094800
且	0.0000	1092816
度	0.0000	1082785
步	0.0000	1077549
影	0.0000	1067165
落	0.0000	1054311
容	0.0000	1038318
钱	0.0000	1034329
服	0.0000	1011511
