# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.5549	1.5000	+1.0549	1.1127
w	4.5689	4.0000	+0.5689	0.3237
e	3.0939	3.0000	+0.0939	0.0088
r	3.1004	4.0000	-0.8996	0.8094
t	1.5031	2.0000	-0.4969	0.2469
y	1.8509	1.5000	+0.3509	0.1232
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.7496	2.5000	+1.2496	1.5614
p	2.1339	1.5000	+0.6339	0.4019
a	2.2123	1.0000	+1.2123	1.4697
s	4.4306	5.0000	-0.5694	0.3242
d	5.2728	8.0000	-2.7272	7.4374
f	6.6027	7.0000	-0.3973	0.1578
g	5.0147	5.0000	+0.0147	0.0002
h	4.6786	5.0000	-0.3214	0.1033
j	6.5153	7.0000	-0.4847	0.2349
k	10.2200	9.0000	+1.2200	1.4884
l	5.7474	4.0000	+1.7474	3.0534
z	0.0000	0.0000	+0.0000	0.0000
x	3.2487	3.0000	+0.2487	0.0618
c	2.1819	1.5000	+0.6819	0.4650
v	4.6580	5.0000	-0.3420	0.1169
b	2.4281	1.5000	+0.9281	0.8613
n	4.5996	4.5000	+0.0996	0.0099
m	3.7783	3.5000	+0.2783	0.0775
