的	vjgi
一	fke
了	sla
是	kfdu
不	kbo
我	mrng
在	kwnd
人	hri
有	ksko
这	vjwi
他	hfke
来	fsmk
个	hwri
你	hdnx
说	mrjl
上	jsu
到	vpvo
就	wnrk
着	dlmi
大	ydo
们	hvme
道	rkji
那	wyfa
么	mle
也	fka
地	nfkd
子	svu
下	vxo
出	ssa
时	klcr
看	rlme
要	mfnx
她	ffkn
中	jwke
没	xmsi
然	spxi
里	gle
为	gqgi
过	ljco
自	kvi
好	fsvn
得	jkfl
去	nldo
可	vjkd
会	htla
天	fydk
还	kjbo
心	hxi
后	cfjk
以	wghr
小	nxu
都	tkfa
和	gjkh
对	llck
想	dlhx
能	lspp
起	ldjv
之	jvi
手	rsi
而	fwo
只	jhbk
生	ssi
什	htse
身	ksi
头	tydi
样	ddkm
事	ljra
多	ccxx
己	dja
家	lfsi
面	fme
知	fjks
开	fqke
如	fjkn
无	frke
现	nrjw
很	jsge
点	xjxi
前	rspu
发	slgi
经	wllg
情	chsk
把	rdbo
老	tpbo
些	dptw
话	mgsi
已	dka
又	lka
声	nsso
意	wkhx
于	flke
回	gjku
笑	gxkv
所	lcjh
但	hkfk
眼	lsgm
成	nwkw
方	dfi
年	gye
见	rje
当	nru
女	fna
真	tkhb
两	fphh
力	qla
气	vqi
从	hhrr
用	tke
长	jci
动	tlql
间	vkrm
国	gngi
走	lvo
让	mjsi
被	pvpi
给	wwha
正	kvo
问	vjkm
打	rvdo
明	kskr
儿	lwi
法	xnla
才	lmo
几	mje
行	jte
三	hso
定	lfdu
此	dpbv
进	thji
再	fpnd
种	gjwu
将	nclc
实	ltyd
同	pfjk
最	kjlk
本	dfkm
向	lxi
分	hkdb
十	tso
学	ndsv
高	wgi
第	gkwm
感	nfjh
怎	gxhx
神	jcss
听	jcjk
边	qjla
作	hgxu
其	hqo
吧	jdbk
却	nlna
口	jke
觉	ndrj
啊	jfvj
因	gydu
白	vbi
次	tmqi
军	dkci
做	hgye
外	cxbx
门	vme
光	nwwu
风	mvkj
主	gnwi
住	hgnw
果	kdmr
与	pfko
全	hnwr
二	two
候	hwlf
公	hlbi
相	dlmm
吗	jcmk
等	gnlc
别	jqpu
色	ddbe
死	fcpb
张	kjcg
部	wjfa
太	ygdo
日	kru
少	nmxu
战	xjng
理	nglw
直	tkso
重	jglq
王	nwo
像	hdjf
脸	shfn
比	ppbb
快	clhr
何	hvjk
水	xsu
名	cjkx
体	hdfk
呢	jspb
东	nnxq
叫	jske
西	mxo
应	pngi
便	hfkv
放	dyfi
马	cma
难	lcvk
轻	kllg
更	fkvk
美	dydi
位	hwle
关	rydi
机	dmjm
接	rwfn
先	slwe
文	vwi
处	yxbe
并	rqi
