# 当量分布统计
# 平均当量: 0.1275
# 变异系数(CV): 1.3373
# 标准差: 0.1705
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
色	0.7500	1047510
部	0.7000	1038900
时	0.6750	4323350
做	0.6750	1187890
少	0.5500	1022010
战	0.4750	1013640
全	0.4700	1098450
打	0.4200	1518360
来	0.4125	7815850
进	0.4125	1425650
事	0.4000	2491320
回	0.4000	1900800
所	0.4000	1861730
白	0.4000	1223300
死	0.3900	1042680
发	0.3850	2079110
行	0.3567	1452180
点	0.3500	2095990
听	0.3500	1290380
此	0.3000	1435990
#
# 当量最低的20个高频字 (字频>1000000):
才	0.0000	1461800
几	0.0000	1454270
三	0.0000	1447490
实	0.0000	1378320
向	0.0000	1354330
十	0.0000	1352340
学	0.0000	1352000
怎	0.0000	1327650
其	0.0000	1273250
口	0.0000	1251120
因	0.0000	1229830
次	0.0000	1215520
军	0.0000	1198430
门	0.0000	1176540
主	0.0000	1135910
住	0.0000	1114070
果	0.0000	1109100
日	0.0000	1024590
理	0.0000	1002950
重	0.0000	1001310
