的	wksi
一	fke
了	kla
是	lfdu
不	kbo
我	vjkg
在	ywhd
人	jri
有	yrko
这	vjwi
他	vjke
来	fwmk
个	jwri
你	vdjx
说	bhgj
上	lsu
到	ndvo
就	xjck
着	mdmi
大	ldo
们	vmme
道	hdji
那	hhwa
么	vle
也	jka
地	hjkd
子	kvu
下	jxo
出	nna
时	llcr
看	jdme
要	dsnx
她	sjkn
中	gwke
没	npsi
然	rmgi
里	xle
为	sdsi
过	ljco
自	dvi
好	skvn
得	glfl
去	hldo
可	jgkd
会	jtla
天	fldk
还	kjbo
心	nxi
后	qfgk
以	hsjr
小	jxu
都	tlwa
和	dgkh
对	vlck
想	fdnx
能	lrmm
起	hsjv
之	jvi
手	jsi
而	gwo
只	gpbk
生	rsi
什	vsse
身	dsi
头	tldi
样	fmkm
事	lgqa
多	mmxx
己	sja
家	kjsi
面	gme
知	mgks
开	fpke
如	sgkn
无	fcke
现	mkjw
很	glge
点	cggi
前	hrdu
发	nvsi
经	yvwg
情	ykrk
把	jsbo
老	tmbo
些	dmtw
话	bhsi
已	ska
又	vka
声	hwso
意	slnx
于	flke
回	qgku
笑	snkv
所	rqjh
但	vlfk
眼	dlgm
成	khkw
方	hfi
年	she
见	kje
当	jqu
女	sna
真	sypb
两	fxjj
力	dla
气	lqi
从	jjrr
用	dke
长	jci
动	tldl
间	mlrm
国	qmsi
走	hvo
让	blsi
被	dspi
给	yxha
正	dvo
问	mgkm
打	jjdo
明	lrkr
儿	jwi
法	nhla
才	lvo
几	pje
行	gte
三	nso
定	kfdu
此	dmbv
进	tpji
再	fxhd
种	dgwu
将	cmlc
实	ktld
同	xfgk
最	lwvk
本	ffkm
向	yxi
分	pndb
十	sso
学	jdkv
高	xgi
第	spwv
感	kfgn
怎	scnx
神	wyss
听	gqjk
边	djla
作	vscu
其	rqo
吧	gsbk
却	hlfa
口	gke
觉	jdkj
啊	gwjg
因	qldu
白	wbi
次	tmqi
军	dkci
做	vpye
外	mcbx
门	mme
光	jqwu
风	pckj
主	smwi
住	vsmw
果	lfmr
与	jfko
全	jmwr
二	two
候	vwgm
公	plbi
相	fdmm
吗	gqmk
等	shlc
别	gddu
色	dsbe
死	fmmb
张	pjcg
部	sgwa
太	lsdo
日	lru
少	jvxu
战	cgkg
理	mxlw
直	syso
重	nxlq
王	mwo
像	vdgj
脸	rjfj
比	mmbb
快	ygjr
何	vjgk
水	nsu
名	mgkx
体	vffk
呢	gwmb
东	ljxq
叫	gnke
西	dxo
应	qjgi
便	vflc
放	hyfi
马	qma
难	vyvk
轻	kvwg
更	flck
美	mldi
位	vsle
关	hldi
机	fpjm
接	jssn
先	rjwe
文	vwi
处	ycbe
并	hpi
望	lrmw
常	mfjs
完	kfqw
四	qjwu
飞	htka
师	hffj
者	tlro
安	ksni
清	nkrk
刚	xcdu
跟	clgv
月	rke
信	vqke
山	ksu
爱	ndyv
内	xjru
龙	cvke
空	twgx
带	ddfj
找	jkgo
原	wwjx
入	hri
李	fkvm
连	kjco
吃	gshk
场	hhqe
平	hhgo
思	tnxt
林	ffmm
变	pvkk
使	vfgc
由	yke
受	ndvk
亲	sfle
命	jfgf
目	dme
强	pghc
男	tdlt
任	vpre
该	blhi
路	cygk
车	kco
今	jshk
海	nsgm
加	dgkl
远	fqji
活	nhsi
特	rhlc
